2025-02-01,1,0
2025-02-01,2,0
2025-02-01,3,0
2025-02-01,3,1
2025-02-01,4,1
2025-02-01,5,1
2025-02-01,6,1
2025-02-01,7,1
2025-02-01,8,1
2025-02-01,9,1
2025-02-01,10,1
2025-02-01,11,1
2025-02-01,12,1
2025-02-01,13,1
2025-02-01,14,1
2025-02-01,15,1
2025-02-01,16,1
2025-02-01,17,1
2025-02-01,18,1
2025-02-01,19,1
2025-02-01,20,1
2025-02-01,21,1
2025-02-01,22,1
2025-02-01,23,1
2025-02-01,24,1
2025-02-01,24,2
2025-02-01,25,2
2025-02-01,26,2
2025-02-01,27,2
2025-02-01,28,2
2025-02-01,29,2
2025-02-01,29,3
2025-02-01,30,3
2025-02-01,31,3
2025-02-01,31,4
2025-02-01,32,4
2025-02-01,33,4
2025-02-02,1,0
2025-02-02,2,0
2025-02-02,3,0
2025-02-02,4,0
2025-02-02,5,0
2025-02-02,5,1
2025-02-02,6,1
2025-02-02,7,1
2025-02-02,8,1
2025-02-02,9,1
2025-02-02,10,1
2025-02-02,11,1
2025-02-02,12,1
2025-02-02,13,1
2025-02-16,1,0
2025-02-16,2,0
2025-02-16,3,0
2025-02-16,4,0
